slug,codes,parameter,operator
a-1-c-level,45484,lab_codes,included
a-1-c-level,45492,lab_codes,included
a-1-c-level,178566,lab_codes,included
a-1-c-pre-diabetes,45484,lab_codes,included
a-1-c-pre-diabetes,45492,lab_codes,included
a-1-c-pre-diabetes,178566,lab_codes,included
ace-arbs,ACE Inhibitor/ARB Medications,hedis_medication_list,included
acs-ip-or-unplanned-admits-two-or-acs-ed-visits-two,acs-ip-or-unplanned-admits-two,condition_slugs,included
acs-ip-or-unplanned-admits-two-or-acs-ed-visits-two,acs-ed-visits-two,condition_slugs,included
active-cancer-hcc,8,hccs,included
active-cancer-hcc,9,hccs,included
active-cancer-hcc,10,hccs,included
active-cancer-hcc,11,hccs,included
active-cancer-hcc,12,hccs,included
acute-mi,I21%,icd_diagnoses,included
acute-mi,I22%,icd_diagnoses,included
advanced-illness-severe,A8100,icd_diagnoses,included
advanced-illness-severe,A8101,icd_diagnoses,included
advanced-illness-severe,A8109,icd_diagnoses,included
advanced-illness-severe,C250,icd_diagnoses,included
advanced-illness-severe,C251,icd_diagnoses,included
advanced-illness-severe,C252,icd_diagnoses,included
advanced-illness-severe,C253,icd_diagnoses,included
advanced-illness-severe,C254,icd_diagnoses,included
advanced-illness-severe,C257,icd_diagnoses,included
advanced-illness-severe,C258,icd_diagnoses,included
advanced-illness-severe,C259,icd_diagnoses,included
advanced-illness-severe,C719,icd_diagnoses,included
advanced-illness-severe,C770,icd_diagnoses,included
advanced-illness-severe,C771,icd_diagnoses,included
advanced-illness-severe,C772,icd_diagnoses,included
advanced-illness-severe,C773,icd_diagnoses,included
advanced-illness-severe,C774,icd_diagnoses,included
advanced-illness-severe,C775,icd_diagnoses,included
advanced-illness-severe,C778,icd_diagnoses,included
advanced-illness-severe,C779,icd_diagnoses,included
advanced-illness-severe,C7800,icd_diagnoses,included
advanced-illness-severe,C781,icd_diagnoses,included
advanced-illness-severe,C782,icd_diagnoses,included
advanced-illness-severe,C7839,icd_diagnoses,included
advanced-illness-severe,C784,icd_diagnoses,included
advanced-illness-severe,C785,icd_diagnoses,included
advanced-illness-severe,C786,icd_diagnoses,included
advanced-illness-severe,C787,icd_diagnoses,included
advanced-illness-severe,C7889,icd_diagnoses,included
advanced-illness-severe,C7900,icd_diagnoses,included
advanced-illness-severe,C7911,icd_diagnoses,included
advanced-illness-severe,C7919,icd_diagnoses,included
advanced-illness-severe,C792,icd_diagnoses,included
advanced-illness-severe,C7931,icd_diagnoses,included
advanced-illness-severe,C7932,icd_diagnoses,included
advanced-illness-severe,C7949,icd_diagnoses,included
advanced-illness-severe,C9100,icd_diagnoses,included
advanced-illness-severe,C9102,icd_diagnoses,included
advanced-illness-severe,C9200,icd_diagnoses,included
advanced-illness-severe,C9202,icd_diagnoses,included
advanced-illness-severe,C9300,icd_diagnoses,included
advanced-illness-severe,C9302,icd_diagnoses,included
advanced-illness-severe,C9390,icd_diagnoses,included
advanced-illness-severe,C9430,icd_diagnoses,included
advanced-illness-severe,C9432,icd_diagnoses,included
advanced-illness-severe,G10,icd_diagnoses,included
advanced-illness-severe,G1221,icd_diagnoses,included
advanced-illness-severe,G3101,icd_diagnoses,included
advanced-illness-severe,I5084,icd_diagnoses,included
advanced-illness-severe,K7200 ,icd_diagnoses,included
advanced-illness-severe,K7201,icd_diagnoses,included
advanced-illness-severe,C710,icd_diagnoses,included
advanced-illness-severe,C711,icd_diagnoses,included
advanced-illness-severe,C712,icd_diagnoses,included
advanced-illness-severe,C713,icd_diagnoses,included
advanced-illness-severe,C714,icd_diagnoses,included
advanced-illness-severe,C715,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1020,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1022,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1023,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1024,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1025,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1026,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1027,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1028,icd_diagnoses,included
alcohol-dependence-not-in-remission,F1029,icd_diagnoses,included
als,G1221,icd_diagnoses,included
als-cp-muscular-dystrophy-hcc-two-year,73,hccs,included
als-cp-muscular-dystrophy-hcc-two-year,74,hccs,included
als-cp-muscular-dystrophy-hcc-two-year,76,hccs,included
angina,I20%,icd_diagnoses,included
angina,I2579%,icd_diagnoses,included
aspiration-pneumonia,J690,icd_diagnoses,included
asthma,J45%,icd_diagnoses,included
asthma-ever,J45%,icd_diagnoses,included
asthma-two-year,J45%,icd_diagnoses,included
asthma-uncontrolled,J45%,icd_diagnoses,included
attention-deficit-hyperactivity-disorders-two-year,F90%,icd_diagnoses,included
autism-two-year,F840,icd_diagnoses,included
autonomic-dysfunction,G90%,icd_diagnoses,included
behavioral-conduct-disorders-two-year,F432%,icd_diagnoses,included
behavioral-conduct-disorders-two-year,F91%,icd_diagnoses,included
behavioral-conduct-disorders-two-year,F93%,icd_diagnoses,included
behavioral-conduct-disorders-two-year,F94%,icd_diagnoses,included
behavioral-conduct-disorders-two-year,F98%,icd_diagnoses,included
behavioral-conduct-disorders-two-year,R454,icd_diagnoses,included
behavioral-conduct-disorders-two-year,R455,icd_diagnoses,included
behavioral-conduct-disorders-two-year,R456,icd_diagnoses,included
behavioral-conduct-disorders-two-year,R457,icd_diagnoses,included
behavioral-conduct-disorders-two-year,R4583,icd_diagnoses,included
behavioral-conduct-disorders-two-year,R4587,icd_diagnoses,included
bipolar-disorder,F30%,icd_diagnoses,included
bipolar-disorder,F31%,icd_diagnoses,included
blindness-two-year,H54%,icd_diagnoses,included
