fieldSlug,isProduction
a-1-c-lab,false
a-1-c-level,false
a-1-c-proc,false
ace-arbs,false
acute-mi,false
acute-utilization-level,true
advanced-illness,false
age-50-or-older,false
age-60-or-older,false
age-80-or-older,false
alcohol-dependence-not-in-remission,true
als,true
angina,false
asthma,true
asthma-ever,false
bipolar-disorder,true
bmi-35,false
bmi-35-and-diabetes-hcc,false
bmi-40,false
bmi-40-not-diabetes-hcc,false
bp-level,false
bp-presence,false
bp-presence-4-month,false
cabg,false
cad-cvd-ever,false
cancer,false
cannabis-dependence-not-in-remission,true
check-a-1-c,false
cirrhosis,false
ckd-stage-4,false
cocaine-dependence-not-in-remission,true
complex-care-management,true
complex-care-management-pediatric,true
complex-home-equipment,false
copd,true
copd-ever,false
coronary-artery-disease,true
coronary-artery-disease-ever,false
covid-risk-factors,false
covid-risk-level,true
cvd,false
cvd-hcc-ever,false
cvd-on-high-mod-statin,false
cystic-fibrosis-ever,false
dementia,true
dementia-meds,false
depression,true
diabetes-a-1-c,true
diabetes-hcc,false
diabetes-on-statin,false
diabetes-poorly-controlled,false
diabetic-retinal-screening,false
diabetic-retinal-screening-dm-wo-comp,false
diabetic-retinal-screening-negative,false
diabetic-retinal-screening-negative-prior,false
diabetic-retinal-screening-w-eye-care-professional,false
dialysis-adherence-problems,true
dm-adequately-controlled,false
dm-moderately-controlled,false
dm-needs-eye-exam,true
dm-needs-nephropathy-screen,true
eating-disorder,true
elevated-historical-bp,false
entitlement-gaps,false
epilepsy,false
esrd,false
esrd-current,false
esrd-narrow,false
estrogen-agonists,false
food-insecurity,false
frailty,false
hallucinogen-dependence-not-in-remission,true
has-anxiety-diagnosis,true
has-diabetes,false
heart-failure,true
high-hemoglobin-a1c,false
hip-fractures,false
history-of-alcohol,true
history-of-falls,false
history-of-opiates,true
history-of-other-substances,true
history-of-psychosis,false
hiv,false
hypertension,false
hypertension-current-or-prior,false
hypertension-acuity,true
hypertension-admission-30-day,false
hypertension-admission-4-month,false
immune-suppression,false
immune-suppression-diagnosis,false
inhalant-dependence-not-in-remission,true
interpersonal-violence,false
ivd,false
ivd-current,false
ivd-prior,false
ivf,false
kidney-transplant,false
lab-checked-coumadin-level,false
lung-volume-reduction-ever,false
medfill-depression,true
medfill-diabetes,true
medfill-high-mod-statin-cvd,false
medfill-hypertension,true
medfill-statin-diabetes,false
mi,false
mood-disorders,true
morbid-obesity-hcc,false
muscular-dystrophy,true
muscular-pain-and-disease,false
needs-a-1-c,true
needs-bp,false
needs-bp-4-month,false
nephropathy-treatment,false
neurologic-neuromuscular,false
obesity,false
on-chronic-opioids,false
on-coumadin,true
on-diabetes-medications,false
on-dialysis,true
on-high-mod-statin,false
on-inhaler,false
on-insulin,true
on-psychiatric-medication,false
on-statin,true
opioid-dependence-not-in-remission,true
osteoporosis,false
other-psychoactive-substance-dependence-not-in-remission,true
other-psychosis,true
other-revascularization,false
other-stimulant-dependence-not-in-remission,true
oxygen,false
pci,false
personality-disorder,false
pulmonary-diagnosis,false
pregnancy,false
pregnancy-9-mo,false
ptsd,true
pulmonary-fibrosis-ever,false
quadriplegia,true
recent-inpatient-mh,false
recent-outpatient-mh,false
renal-disease,false
respirator-dependence,true
rx-opioids-multiple-providers,false
unsafe-or-unstable-housing,false
schizophrenia,true
sedative-hypnotic-anxiolytic-dependence-not-in-remission,true
lives-in-group-home,false
low-self-efficacy,false
low-social-support,false
smoker,false
smoker-assessment,false
smoker-diagnosis,false
social-vulnerability,false
stroke,false
suspect-alcohol,false
suspect-depression,false
suspect-diabetes,false
suspect-diabetes-screening,false
suspect-drug-abuse,false
suspect-morbid-obesity,false
transportation-challenges,false
traumatic-brain-injury,true
two-ed-visits,false
two-plus-adls,false
ulcers,true
unplanned-admit,false
urine-protein-tests,false
viral-hepatitis,false
