column,code
diagnosisCode,T8600
diagnosisCode,T8601
diagnosisCode,T8602
diagnosisCode,T8603
diagnosisCode,T8609
diagnosisCode,T8620
diagnosisCode,T8621
diagnosisCode,T8622
diagnosisCode,T8623
diagnosisCode,T86290
diagnosisCode,T86298
diagnosisCode,T8630
diagnosisCode,T8631
diagnosisCode,T8632
diagnosisCode,T8633
diagnosisCode,T8639
diagnosisCode,T8640
diagnosisCode,T8641
diagnosisCode,T8642
diagnosisCode,T8643
diagnosisCode,T8649
diagnosisCode,T865
diagnosisCode,T86810
diagnosisCode,T86811
diagnosisCode,T86812
diagnosisCode,T86818
diagnosisCode,T86819
diagnosisCode,T86850
diagnosisCode,T86851
diagnosisCode,T86852
diagnosisCode,T86858
diagnosisCode,T86859
diagnosisCode,Z4821
diagnosisCode,Z4823
diagnosisCode,Z4824
diagnosisCode,Z48280
diagnosisCode,Z48290
diagnosisCode,Z941
diagnosisCode,Z942
diagnosisCode,Z943
diagnosisCode,Z944
diagnosisCode,Z9481
diagnosisCode,Z9482
diagnosisCode,Z9483
diagnosisCode,Z9484
diagnosisCode,Z95811
diagnosisCode,Z95812
diagnosisGroup,11
diagnosisGroup,12
diagnosisGroup,31
diagnosisGroup,66
diagnosisGroup,86
diagnosisGroup,169
